avg_rating,number_ratings,enrollment,last_updated,lectures,duration,price2,discount,inst_rating,inst_review,inst_student,inst_course,cat_design,cat_development,cat_it software,cat_personal hobby
4.5,2826.0,14269.0,20.83333333333333,41.0,7.133333333333334,19.99,88,4.5,11922.0,53659.0,10.0,0,0,0,0
3.3,320.0,2088.0,17.166666666666668,72.0,4.133333333333334,16.99,90,3.3,320.0,4012.0,3.0,0,0,0,0
4.4,991.0,3563.0,20.666666666666668,91.0,5.233333333333333,28.99,77,4.4,2193.0,7422.0,6.0,0,0,0,0
4.2,681.0,1932.0,20.83333333333333,57.0,5.05,16.99,64,4.3,25989.0,242683.0,43.0,0,0,1,0
4.3,1939.0,14048.0,13.333333333333336,142.0,10.766666666666667,20.99,55,4.5,25581.0,113480.0,12.0,0,0,0,0
4.5,1281.0,9244.0,20.83333333333333,75.0,6.1,16.99,89,4.4,14384.0,63776.0,9.0,0,0,1,0
4.3,261.0,937.0,20.0,73.0,7.9833333333333325,17.99,87,4.3,698.0,2114.0,4.0,0,0,0,0
4.7,1659.0,7400.0,18.33333333333333,151.0,3.3833333333333333,199.99,69,4.7,4274.0,16488.0,6.0,0,0,0,1
4.5,197.0,1444.0,19.916666666666668,257.0,25.08333333333333,20.99,40,3.9,4868.0,61599.0,45.0,0,0,1,0
4.5,1588.0,9192.0,15.916666666666664,24.0,2.7333333333333334,19.99,90,4.5,21876.0,104566.0,28.0,0,0,0,0
4.6,3267.0,15260.0,20.83333333333333,49.0,8.766666666666667,16.99,87,4.6,20290.0,104746.0,18.0,0,0,0,0
4.7,481.0,7214.0,16.25,40.0,5.65,20.99,89,4.5,3182.0,18455.0,6.0,0,0,0,1
4.4,3813.0,14570.0,15.25,44.0,4.2,28.99,58,4.4,3813.0,14692.0,1.0,0,0,0,0
4.2,271.0,1664.0,20.83333333333333,107.0,9.883333333333333,17.99,76,4.3,959.0,18678.0,6.0,0,0,0,1
4.5,1557.0,11830.0,20.416666666666668,120.0,9.0,20.99,83,4.5,30146.0,105935.0,16.0,0,0,0,0
4.5,2288.0,11967.0,18.166666666666668,38.0,4.666666666666667,17.99,90,4.5,3479.0,14412.0,5.0,0,0,0,1
4.5,655.0,2607.0,20.83333333333333,21.0,2.5,16.99,81,4.4,924.0,3348.0,4.0,0,0,0,0
4.6,2456.0,14398.0,20.666666666666668,23.0,6.316666666666666,17.99,49,4.4,80108.0,271227.0,82.0,0,0,0,0
4.1,373.0,2812.0,20.75,107.0,9.283333333333333,19.99,88,4.1,373.0,2812.0,1.0,0,0,0,0
4.3,521.0,1532.0,20.83333333333333,103.0,9.133333333333333,21.99,85,4.3,2935.0,37791.0,42.0,0,0,0,0
4.3,1989.0,12715.0,16.916666666666668,64.0,3.9333333333333336,16.99,90,4.2,4127.0,38588.0,22.0,0,0,0,0
4.3,2174.0,8626.0,20.666666666666668,205.0,14.416666666666664,20.99,89,4.3,2516.0,11197.0,2.0,0,0,0,0
4.1,362.0,2243.0,20.666666666666668,24.0,1.1666666666666667,19.99,88,4.2,7513.0,66526.0,184.0,0,0,1,0
3.9,460.0,3830.0,20.166666666666668,206.0,16.033333333333335,16.99,88,4.2,4873.0,75839.0,8.0,0,0,0,0
4.7,818.0,4608.0,20.08333333333333,72.0,18.416666666666668,16.99,67,4.4,1807.0,14233.0,5.0,0,1,0,0
4.5,1777.0,10598.0,20.83333333333333,96.0,12.15,23.99,87,4.4,9720.0,40355.0,5.0,0,1,0,0
4.6,1943.0,13947.0,18.08333333333333,28.0,0.6333333333333333,16.99,88,4.5,2253.0,23031.0,4.0,0,0,0,1
4.3,4930.0,19402.0,20.75,36.0,8.483333333333333,19.99,79,4.3,5502.0,29703.0,3.0,0,0,0,0
4.6,503.0,5583.0,19.416666666666668,40.0,6.35,17.99,89,4.4,1204.0,7809.0,4.0,1,0,0,0
4.3,2402.0,12566.0,20.83333333333333,291.0,31.11666666666667,16.99,73,4.3,2402.0,12718.0,1.0,0,0,1,0
4.4,789.0,3951.0,20.5,130.0,16.166666666666668,16.99,89,4.5,46162.0,130166.0,33.0,0,0,1,0
4.2,967.0,7659.0,18.75,162.0,20.183333333333334,23.99,43,4.4,11708.0,47220.0,22.0,0,0,0,1
3.6,617.0,2492.0,20.08333333333333,69.0,12.65,27.99,89,3.6,617.0,4067.0,1.0,0,0,1,0
4.5,839.0,3237.0,20.166666666666668,39.0,4.416666666666667,16.99,89,4.4,17599.0,100305.0,18.0,0,0,1,0
4.2,1686.0,11926.0,19.916666666666668,147.0,18.2,20.99,83,4.3,2588.0,33321.0,10.0,0,1,0,0
4.3,1483.0,8765.0,20.33333333333333,101.0,8.316666666666666,19.99,89,4.2,6030.0,43552.0,15.0,0,0,1,0
4.8,207.0,560.0,19.416666666666668,44.0,4.333333333333333,16.99,89,4.8,207.0,560.0,1.0,0,0,0,1
4.6,536.0,5992.0,20.58333333333333,179.0,20.95,17.99,86,4.7,13999.0,64522.0,18.0,0,1,0,0
4.5,418.0,2039.0,20.83333333333333,196.0,24.68333333333333,21.99,77,4.5,418.0,2039.0,1.0,0,1,0,0
4.3,1313.0,5003.0,20.416666666666668,78.0,6.116666666666666,23.99,88,4.3,2259.0,6612.0,7.0,0,0,0,0
4.7,957.0,5388.0,20.83333333333333,189.0,26.78333333333333,34.99,77,4.5,2777.0,39883.0,10.0,1,0,0,0
4.5,2931.0,20000.0,18.916666666666668,10.0,1.7,19.99,81,4.5,5456.0,30968.0,6.0,0,0,0,0
3.7,61.0,378.0,20.75,33.0,1.35,24.99,69,3.7,61.0,378.0,1.0,1,0,0,0
4.5,1065.0,6349.0,18.0,307.0,22.25,21.99,92,4.4,17393.0,50598.0,9.0,1,0,0,0
3.9,514.0,2949.0,20.83333333333333,84.0,3.85,19.99,85,4.0,1028.0,4763.0,3.0,0,0,0,0
4.5,635.0,3589.0,20.83333333333333,331.0,14.233333333333333,21.99,85,4.3,820.0,6153.0,3.0,0,0,0,0
4.3,268.0,965.0,19.83333333333333,91.0,7.3,23.99,89,4.3,268.0,965.0,1.0,0,0,0,0
4.2,541.0,2994.0,20.58333333333333,242.0,23.68333333333333,21.99,83,4.6,7165.0,86438.0,7.0,0,0,1,0
4.6,2371.0,13167.0,20.5,86.0,12.45,27.99,88,4.5,2943.0,15423.0,3.0,0,0,1,0
4.5,1219.0,10585.0,20.83333333333333,70.0,11.1,16.99,85,4.4,28778.0,167835.0,17.0,0,1,0,0
4.2,602.0,3041.0,19.25,125.0,6.183333333333334,149.99,91,4.2,3416.0,18393.0,5.0,0,0,1,0
4.3,611.0,3282.0,20.33333333333333,312.0,24.33333333333333,23.99,92,4.2,5887.0,39996.0,10.0,0,1,0,0
4.7,2397.0,13070.0,20.5,115.0,4.3,21.99,91,4.6,4010.0,20308.0,3.0,1,0,0,0
4.1,151.0,505.0,20.58333333333333,149.0,13.733333333333333,16.99,89,4.3,1012.0,12472.0,18.0,0,0,1,0
4.1,545.0,3570.0,20.75,124.0,10.783333333333333,16.99,88,4.4,7731.0,32830.0,20.0,0,1,0,0
4.7,2134.0,31028.0,18.416666666666668,32.0,2.1,16.99,86,4.5,43931.0,179413.0,106.0,0,0,0,1
4.1,316.0,2228.0,20.666666666666668,119.0,9.5,20.99,90,4.3,938.0,10973.0,4.0,0,0,0,0
4.4,1513.0,34713.0,19.916666666666668,36.0,3.1333333333333333,16.99,67,4.4,2062.0,43990.0,7.0,0,0,0,0
4.5,4827.0,19481.0,19.916666666666668,251.0,23.41666666666667,19.99,88,4.5,6312.0,31041.0,5.0,1,0,0,0
4.7,206.0,1276.0,20.5,65.0,65.13333333333334,21.99,88,4.6,1169.0,2203.0,13.0,0,0,0,0
4.5,5466.0,21700.0,20.83333333333333,39.0,7.633333333333333,16.99,89,4.5,19007.0,52026.0,19.0,0,0,1,0
4.6,2301.0,15303.0,18.25,92.0,11.233333333333333,16.99,88,4.5,30146.0,105909.0,16.0,0,0,0,0
4.9,478.0,11045.0,20.75,324.0,20.483333333333334,16.99,74,4.8,6971.0,26296.0,4.0,0,1,0,0
4.4,283.0,4343.0,13.25,257.0,16.433333333333334,19.99,64,4.5,4842.0,33727.0,8.0,0,0,0,1
4.7,931.0,5249.0,20.166666666666668,60.0,3.5166666666666666,16.99,51,4.6,4020.0,24079.0,3.0,0,0,0,1
4.1,407.0,2329.0,20.83333333333333,139.0,6.583333333333332,17.99,90,4.1,8696.0,59150.0,44.0,0,1,0,0
3.9,389.0,2681.0,20.75,48.0,6.25,16.99,85,4.4,7731.0,32830.0,20.0,0,1,0,0
4.6,3497.0,25682.0,20.83333333333333,50.0,3.6666666666666665,16.99,49,4.7,51619.0,187187.0,4.0,0,0,0,0
3.8,215.0,2348.0,19.58333333333333,74.0,7.5166666666666675,19.99,89,4.1,8696.0,59170.0,44.0,0,0,1,0
4.3,1290.0,6215.0,20.58333333333333,170.0,18.116666666666667,20.99,75,4.4,1955.0,19000.0,6.0,0,1,0,0
